Index       TIME              Sample(out)      
0        0.00000000e+00    1.42541949e-08
1        5.00000000e-06    1.42541949e-08
2        1.50000000e-05    1.42541949e-08
3        3.50000000e-05    1.42541949e-08
4        7.50000000e-05    1.42541949e-08
5        1.55000000e-04    1.42541949e-08
6        2.55000000e-04    1.42541949e-08
7        3.55000000e-04    1.42541949e-08
8        4.55000000e-04    1.42541949e-08
9        5.55000000e-04    1.42541949e-08
10       6.55000000e-04    1.42541949e-08
11       7.55000000e-04    1.42541949e-08
12       8.55000000e-04    1.42541949e-08
13       9.55000000e-04    1.42541949e-08
14       1.00000000e-03    1.42541949e-08
End of Xyce(TM) Simulation
